,videoId,channelId,videoTitle,videoDescription,imageUrl,channelTitle,liveBroadcastContent,videoPublishTime,order,query,videoId,videoViewCnt,videoLikeCnt,videoCommentCnt,videoDuration
24,ydoiX39piTc,UC7CLR70PwAff4tBUavQ42cw,"Đánh Mất Em Lofi, Anh Mệt Rồi Lofi...| Nhạc Lofi Buồn Hay Nhất Của FREAK D #5","Đánh Mất Em Lofi, Anh Mệt Rồi Lofi...| Nhạc Lofi Buồn Hay Nhất Của FREAK D #5 #freakd #lofichill #lofivietnam TRACKLIST ...",https://i.ytimg.com/vi/ydoiX39piTc/hqdefault.jpg,Freak D Music,none,2020-10-04 21:00:12+09:00,viewCount,lofi,ydoiX39piTc,24105099,147637,3531,22M13S
25,CLeZyIID9Bo,UCkKT4qf-TcPFOmpqhTawrGA,Chill Lofi Mix [chill lo-fi hip hop beats],"YouTube Playlists: http://listen.settle.fm/youtube Listen on Spotify, Apple Music & more: https://listen.settle.fm/playlists Tracklist ...",https://i.ytimg.com/vi/CLeZyIID9Bo/hqdefault.jpg,Settle,none,2022-08-12 20:30:07+09:00,viewCount,lofi,CLeZyIID9Bo,23880488,139775,2680,1H44M52S
26,MYTfTKGSRr8,UCUZNK80DemBN3kyxusDLwrA,"Relaxing Sleep Music with Rain Sounds - Relaxing Music, Peaceful Piano Music, Meditation Music","Relaxing Sleep Music with Rain Sounds - Relaxing Music, Peaceful Piano Music, Meditation Music Fall into Deep Sleep with Rain ...",https://i.ytimg.com/vi/MYTfTKGSRr8/hqdefault.jpg,The Soul of Wind,none,2020-11-03 00:15:05+09:00,viewCount,lofi,MYTfTKGSRr8,23591734,474518,12051,10H6M8S
27,ru-O5L2uxho,UCf177kjSQKWZneInEnxjXpg,[Piano ASMR] 3시간 연속듣기 | 빗소리와 함께 듣는 피아노 | 시청각 ASMR | Piano Music &amp; Rain Sounds,장마철 #특집 #피아노연속듣기 안녕하세요 감성을 연주하는 남자 소디입니다! 오늘은 공식시리즈가 아닌 저의 지난 자작곡 'Let It Go' ...,https://i.ytimg.com/vi/ru-O5L2uxho/hqdefault.jpg,소디의 음악공방 SodyMusic,none,2019-07-26 14:09:50+09:00,viewCount,lofi,ru-O5L2uxho,22507903,346455,5848,3H2M34S
28,pdYJtRBPlTw,UCaH9AQy86DBIg-BpWzj-csQ,(FREE) Lo-fi Type Beat - Rain,Free for non profit use only - Must always credit in title (Prod. Lee) ( Read below for full conditions ) Business contact ...,https://i.ytimg.com/vi/pdYJtRBPlTw/hqdefault.jpg,Lee,none,2019-03-09 15:30:02+09:00,viewCount,lofi,pdYJtRBPlTw,21901713,466747,9391,3M50S
29,_tV5LEBDs7w,UCSJ4gkVC6NrvII8umztf0Ow,Cozy Winter ❄️ [lofi hip hop/study beats],"Listen on Spotify, Apple music and more → https://fanlink.to/lofigirl-music | Join the Lofi Girl community ...",https://i.ytimg.com/vi/_tV5LEBDs7w/hqdefault.jpg,Lofi Girl,none,2021-01-17 05:00:11+09:00,viewCount,lofi,_tV5LEBDs7w,21882864,287124,9171,1H18M1S
30,fs0BCIUQ7Ws,UCxXn2yb4qJbG0bKmr3wa4JA,Soulful,Provided to YouTube by IIP-DDS Soulful · L'Indécis Playtime ℗ Chillhop Music Released on: 2018-02-28 Producer: Arnaud ...,https://i.ytimg.com/vi/fs0BCIUQ7Ws/hqdefault.jpg,L'Indécis - Topic,none,2020-05-15 21:10:10+09:00,viewCount,lofi,fs0BCIUQ7Ws,21392486,221882,304,3M41S
31,Khd-uyOuhGo,UCnfmOjxm-9fCwexfLqE72jA,ＨＯＵＳＥ¹ (Lo-Fi House Mix),A new segment of my channel I also love house music so I'll be uploading lofi house mixes from time to time Hope everyone ...,https://i.ytimg.com/vi/Khd-uyOuhGo/hqdefault.jpg,Kiffen Beats,none,2018-08-10 12:35:46+09:00,viewCount,lofi,Khd-uyOuhGo,21216693,299829,6510,40M
32,oAGWFop_Hx8,UCwpkceoj8LqJetYfgOzLLfg,kudasai - technicolor,and we're back - dk Song: https://soundcloud.com/kudasaibeats/technicolor Merch: https://teespring.com/stores/ikigai-merch-2 ...,https://i.ytimg.com/vi/oAGWFop_Hx8/hqdefault.jpg,Ikigai,none,2018-06-19 11:08:01+09:00,viewCount,lofi,oAGWFop_Hx8,20578087,202829,3996,4M4S
33,wAPCSnAhhC8,UCSJ4gkVC6NrvII8umztf0Ow,2 A.M Study Session 📚 [lofi hip hop/chill beats],"Listen on Spotify, Apple music and more → https://fanlink.tv/lofigirl-music | Join the Lofi Girl community ...",https://i.ytimg.com/vi/wAPCSnAhhC8/hqdefault.jpg,Lofi Girl,none,2020-04-01 02:00:15+09:00,viewCount,lofi,wAPCSnAhhC8,20465459,334571,12088,1H2M19S
